Regiao,Produto,Vendas
Sudeste,Produto_D,4420
Sudeste,Produto_D,3363
Sudeste,Produto_D,3644
Sudeste,Produto_D,3266
Sudeste,Produto_D,2420
Sudeste,Produto_D,889
Sudeste,Produto_D,4433
Sudeste,Produto_D,2817
Sudeste,Produto_D,2219
Sudeste,Produto_D,1546
Sudeste,Produto_D,254
Sudeste,Produto_D,3303
Sudeste,Produto_D,2276
Sudeste,Produto_D,902
Sudeste,Produto_D,3067
Sudeste,Produto_D,252
Sudeste,Produto_D,243
Sudeste,Produto_D,732
Sudeste,Produto_D,2346
Sudeste,Produto_D,2383
Sudeste,Produto_D,2091
Sudeste,Produto_D,4712
Sudeste,Produto_D,4899
Sudeste,Produto_D,2493
Sudeste,Produto_D,4446
Sudeste,Produto_D,3561
Sudeste,Produto_D,1836
Sudeste,Produto_D,3375
Sudeste,Produto_D,1078
Sudeste,Produto_D,4466
Sudeste,Produto_D,3579
Sudeste,Produto_D,2726
Sudeste,Produto_D,4087
Sudeste,Produto_D,3978
Sudeste,Produto_D,1540
Sudeste,Produto_D,74
Sudeste,Produto_D,3638
Sudeste,Produto_D,2736
Sudeste,Produto_D,2930
Sudeste,Produto_D,705
Sudeste,Produto_D,1629
Sudeste,Produto_D,1843
Sudeste,Produto_D,2591
Sudeste,Produto_D,463
Sudeste,Produto_D,2927
Sudeste,Produto_D,476
Sudeste,Produto_D,519
Sudeste,Produto_D,3827
Sudeste,Produto_D,313
Sudeste,Produto_D,3574
Sudeste,Produto_D,2159
Sudeste,Produto_D,2253
Sudeste,Produto_D,1133
Sudeste,Produto_D,1598
Sudeste,Produto_D,3936
Sudeste,Produto_D,3091
Sudeste,Produto_D,72
Sudeste,Produto_D,2415
Sudeste,Produto_D,383
Sudeste,Produto_D,658
Sudeste,Produto_D,1406
Sudeste,Produto_D,3457
Sudeste,Produto_D,1399
Sudeste,Produto_D,2606
Sudeste,Produto_D,2000
Sudeste,Produto_D,489
Sudeste,Produto_D,3453
Sudeste,Produto_D,4947
Sudeste,Produto_D,3458
Sudeste,Produto_D,4510
Sudeste,Produto_D,3657
Sudeste,Produto_D,2366
Sudeste,Produto_D,4835
Sudeste,Produto_D,1351
Sudeste,Produto_D,937
Sudeste,Produto_D,3580
Sudeste,Produto_D,4841
Sudeste,Produto_D,4249
Sudeste,Produto_D,1397
Sudeste,Produto_D,4079
Sudeste,Produto_D,3833
Sudeste,Produto_D,2285
Sudeste,Produto_D,3278
Sudeste,Produto_D,2623
Sudeste,Produto_D,4048
Sudeste,Produto_D,523
Sudeste,Produto_D,1136
Sudeste,Produto_D,3036
Sudeste,Produto_D,938
Sudeste,Produto_D,4506
Sudeste,Produto_D,491
Sudeste,Produto_D,1689
Sudeste,Produto_D,2570
Sudeste,Produto_D,3749
Sudeste,Produto_D,4255
Sudeste,Produto_D,581
Sudeste,Produto_D,1995
Sudeste,Produto_D,1630
Sudeste,Produto_D,4294
Sudeste,Produto_D,4564
Sudeste,Produto_D,4393
Sudeste,Produto_D,2944
Sudeste,Produto_D,3633
Sudeste,Produto_D,4967
Sudeste,Produto_D,3336
Sudeste,Produto_D,3081
Sudeste,Produto_D,2243
Sudeste,Produto_D,2731
Sudeste,Produto_D,1465
Sudeste,Produto_D,2820
Sudeste,Produto_D,3159
Sudeste,Produto_D,1015
Sudeste,Produto_D,2293
Sudeste,Produto_D,1385
Sudeste,Produto_D,706
Sudeste,Produto_D,381
Sudeste,Produto_D,3799
Sudeste,Produto_D,4981
Sudeste,Produto_D,621
Sudeste,Produto_D,4840
Sudeste,Produto_D,3198
Sudeste,Produto_D,2682
Sudeste,Produto_D,3803
Sudeste,Produto_D,3845
Sudeste,Produto_D,1237
Sudeste,Produto_D,3284
Sudeste,Produto_D,1860
Sudeste,Produto_D,2686
Sudeste,Produto_D,3388
Sudeste,Produto_D,4628
Sudeste,Produto_D,2869
Sudeste,Produto_D,2755
Sudeste,Produto_D,4439
Sudeste,Produto_D,3866
Sudeste,Produto_D,4334
Sudeste,Produto_D,3981
Sudeste,Produto_D,4139
Sudeste,Produto_D,3890
Sudeste,Produto_D,1430
Sudeste,Produto_D,1084
Sudeste,Produto_D,1528
Sudeste,Produto_D,75
Sudeste,Produto_D,1889
Sudeste,Produto_D,771
Sudeste,Produto_D,495
Sudeste,Produto_D,3101
Sudeste,Produto_D,3224
Sudeste,Produto_D,3729
Sudeste,Produto_D,3985
Sudeste,Produto_D,4446
Sudeste,Produto_D,719
Sudeste,Produto_D,1824
Sudeste,Produto_D,4247
Sudeste,Produto_D,4972
Sudeste,Produto_D,4004
Sudeste,Produto_D,1245
Sudeste,Produto_D,1966
Sudeste,Produto_D,4376
Sudeste,Produto_D,79
Sudeste,Produto_D,1525
Sudeste,Produto_D,4059
Sudeste,Produto_D,4928
Sudeste,Produto_D,4636
Sudeste,Produto_D,2497
Sudeste,Produto_D,2035
Sudeste,Produto_D,1639
Sudeste,Produto_D,1441
Sudeste,Produto_D,378
Sudeste,Produto_D,3173
Sudeste,Produto_D,1987
Sudeste,Produto_D,4319
Sudeste,Produto_D,4720
Sudeste,Produto_D,2071
Sudeste,Produto_D,3248
Sudeste,Produto_D,3001
Sudeste,Produto_D,4445
Sudeste,Produto_D,3425
Sudeste,Produto_D,536
Sudeste,Produto_D,1255
